例2	れい		instance, example, case, precedent, experience, custom, usage, parallel, illustration
礼	れい		expression of gratitude
零1	れい		zero, nought
例外	れいがい		exception
礼儀	れいぎ		manners, courtesy, etiquette
礼金	れいきん	部屋や家を借りるとき、謝礼金という名目で家主に支払う一時金。「―と敷金」	〔専門職に対する〕a fee; 〔家主に払う〕key money
冷酷	れいこく		cruelty, coldheartedness, relentless, ruthless
冷静	れいせい		calm, composure, coolness, serenity
冷蔵	れいぞう		cold storage, refrigeration
冷蔵庫	れいぞうこ		refrigerator
冷淡	れいたん		coolness, indifference
零点	れいてん		zero, no marks
冷凍	れいとう		freezing, cold storage, refrigeration
冷房	れいぼう		cooling, air-conditioning
歴史	れきし	人間社会が経てきた変遷・発展の経過。また、その記録。「日本の―」「―上の事件」「―に残る」「―をひもとく」	history
列	れつ		line, row
列車	れっしゃ		train (ordinary)
列島	れっとう		chain of islands
恋愛	れんあい	特定の異性に特別の愛情を感じて恋い慕うこと。また、男女が互いにそのような感情をもつこと。「熱烈にーする」	love
煉瓦	れんが		brick
冷却	れいきゃく	温度を下げること。また、温度が下がること。「機関をーする」「ー水」	cooling; refrigeration
連休	れんきゅう		consecutive holidays
錬金術	れんきんじゅつ		alchemy
連合	れんごう		union, alliance
連日	れんじつ		every day, prolonged
連射	れんしゃ		rapid-fire
練習	れんしゅう		practice
連勝	れんしょう	続けて勝つこと。「連勝式」の略。「連戦ー」	((three)) victories in a row; ((three)) straight wins
連想	れんそう		association (of ideas), suggestion
連続	れんぞく		serial, consecutive, continuity, occurring in succession, continuing
連帯	れんたい		solidarity
連中	れんちゅう	仲間である者たち。また、同じようなことをする者たちをひとまとめにしていう語。親しみ、あるいは軽蔑 (けいべつ) を込めていう。「クラスのーを誘ってみる」「こういうーは度し難い」	colleagues, company, a lot
廉売	れんばい	商品を安い値段で売ること。安売り。「傷物を―する」「特価大―」	a (bargain) sale⇒やすうり(安売り)
連邦	れんぽう	アメリカ・スイス・ドイツなど。連合国家。	commonwealth, federation of states
連盟	れんめい		league, union, alliance
連絡	れんらく		junction, communication, connection, coordination
連絡先	れんらくさき		contacts
